 Al Density=2.699
 Energy(eV), Delta, Beta 
  30.  0.107041024  0.00801586732
  30.4181843  0.103505708  0.00792390294
  30.8421955  0.100080788  0.00783301052
  31.2721214  0.0967628211  0.00774315977
  31.7080383  0.093548283  0.00765430881
  32.150032  0.0904401392  0.00756651862
  32.5981827  0.0874366909  0.00747279217
  33.0525818  0.0845232904  0.00735535612
  33.5133171  0.0816857517  0.00722446945
  33.9804764  0.0789185539  0.00709589431
  34.4541473  0.0762257352  0.00696962839
  34.9344177  0.0736061335  0.00684559671
  35.4213829  0.0710563809  0.00672378298
  35.9151382  0.0685767084  0.00660412153
  36.4157791  0.0661652461  0.0064865984
  36.9233932  0.0638199896  0.0063711796
  37.4380875  0.0615389571  0.00625781342
  37.9599533  0.0593205169  0.00614645565
  38.4890938  0.0571628101  0.00603706483
  39.0256119  0.0550609902  0.0059296228
  39.5696068  0.0530166365  0.00582410442
  40.1211853  0.0510304049  0.0057204701
  40.6804543  0.0491016246  0.00561623229
  41.2475166  0.0472253598  0.00550457882
  41.8224831  0.0453938916  0.00538302725
  42.405468  0.0436011031  0.00526415044
  42.9965744  0.0418474451  0.00514790323
  43.5959282  0.0401342697  0.00503422413
  44.2036324  0.0384622514  0.00492305728
  44.8198051  0.0368304923  0.00481434679
  45.4445686  0.0352386124  0.00470803026
  46.0780411  0.0336861201  0.00460405461
  46.7203445  0.0321745984  0.00450238958
  47.3715973  0.0307236109  0.00440296577
  48.0319328  0.0293053854  0.00425288593
  48.7014732  0.0278826524  0.00408555614
  49.3803444  0.0264648832  0.00391958933
  50.0686798  0.0250590462  0.00376036903
  50.7666092  0.0236674938  0.00360762095
  51.4742699  0.0222905055  0.00346106803
  52.1917915  0.0209260806  0.0033204623
  52.9193192  0.0195642002  0.00318557699
  53.6569862  0.0182119831  0.00306511135
  54.4049339  0.0168744251  0.00295562716
  55.163311  0.015551568  0.00285230041
  55.9322586  0.0142396204  0.0027525872
  56.7119217  0.0129335551  0.00265635666
  57.5024567  0.0116303843  0.00256349845
  58.3040123  0.010314865  0.00247387355
  59.1167336  0.00898297131  0.0023873907
  59.9407921  0.00763752358  0.00231519341
  60.7763329  0.00628079986  0.00225304998
  61.6235237  0.00490689045  0.00219525723
  62.4825172  0.00349815446  0.00213894737
  63.3534927  0.00203089579  0.00208810926
  64.2366028  0.00049939804  0.00209030625
  65.1320343 -0.00108026795  0.00209674425
  66.0399323 -0.00274960883  0.0021036081
  66.960495 -0.00454800529  0.00211050292
  67.8938904 -0.00653441017  0.00211464637
  68.8402939 -0.00880582631  0.00211497094
  69.7998886 -0.0115287444  0.00211471017
  70.7728577 -0.0150872935  0.00211445522
  71.7593994 -0.0214154739  0.00211419514
  72.7596817 -0.0373921245  0.0146784745
  73.7739182 -0.0231347941  0.0243992787
  74.8022842 -0.0181595702  0.0248973761
  75.844986 -0.0158158094  0.0254055988
  76.9022217 -0.0142623503  0.0259242244
  77.9741974 -0.0130887609  0.0264536366
  79.0611115 -0.012130334  0.026993705
  80.1631851 -0.0112389233  0.0275447872
  81.2806168 -0.0103928726  0.0280524772
  82.4136276 -0.00959489495  0.028541591
  83.5624237 -0.00881678704  0.0290370025
  84.7272415 -0.0079779448  0.0295410268
  85.9082947 -0.00696465885  0.0300380867
  87.1058121 -0.00581933185  0.0302400235
  88.320015 -0.00484494399  0.030116668
  89.5511475 -0.00404604105  0.0299541503
  90.7994385 -0.00335914735  0.0297924764
  92.0651398 -0.00274078501  0.0296316706
  93.3484802 -0.00217215042  0.0294717532
  94.649704 -0.00164184824  0.0293126721
  95.9690704 -0.00114043418  0.0291544423
  97.3068314 -0.000660475926  0.0289970636
  98.6632385 -0.000195875618  0.0288405623
  100.038544  0.00025814015  0.0286849048
  101.433029  0.000708481122  0.0285301134
  102.846954  0.00116501271  0.0283694454
  104.280579  0.00163171708  0.0281861871
  105.734192  0.00208313391  0.0279571302
  107.208076  0.00249523367  0.0277297292
  108.702492  0.00289734616  0.0275043026
  110.217751  0.00329217268  0.027280787
  111.754128  0.00368307973  0.0270590317
  113.311913  0.00407346431  0.0268390253
  114.891418  0.00446662446  0.0266207736
  116.492943  0.00486663356  0.0264041964
  118.116798  0.0052856002  0.0261896811
  119.763275  0.00572907273  0.0259767417
  121.432716  0.00621108711  0.0257654991
  123.125427  0.0067818067  0.0255560316
  124.841721  0.00743852369  0.0252064392
  126.581955  0.00808432326  0.0246233791
  128.346436  0.0085568605  0.023980597
  130.135513  0.00891173631  0.0233545564
  131.949539  0.00920987036  0.022744894
  133.788834  0.00946493074  0.0221511517
  135.653778  0.00968452543  0.0215728879
  137.544724  0.00987470616  0.0210097227
  139.462021  0.010040231  0.020461265
  141.406052  0.0101849763  0.0199271329
  143.377167  0.0103123663  0.0194069333
  145.375778  0.0104267858  0.0189003032
  147.402222  0.010533358  0.0184069294
  149.45694  0.010641112  0.0179264136
  151.540268  0.0107456231  0.0174290724
  153.652664  0.0108301165  0.0169144813
  155.794495  0.0108806873  0.0164139438
  157.966202  0.0109132268  0.0159282014
  160.168167  0.0109322062  0.0154568246
  162.400818  0.010941457  0.0149994111
  164.664597  0.0109433662  0.014555539
  166.95993  0.010940535  0.0141247958
  169.287262  0.0109355971  0.0137067959
  171.647034  0.0109317601  0.0133011779
  174.039703  0.0109339189  0.0129075665
  176.465729  0.0109587032  0.012525578
  178.925552  0.0110293794  0.0121054351
  181.419678  0.0110731749  0.0116060358
  183.948563  0.0110483626  0.011096878
  186.512726  0.0109706931  0.010610058
  189.112595  0.0108707547  0.010144623
  191.748734  0.0107519981  0.00969954766
  194.4216  0.0106177451  0.0092740804
  197.131729  0.0104713673  0.00886722282
  199.879639  0.010316723  0.00847819354
  202.665863  0.0101548489  0.0081040943
